id	group	BAG5	BCAT2	BDNF	BTBD9	CKB	CSF2RB	FGF21	FNDC3B	FUT1	FUT2	GLO1	HSD17B14	IZUMO1	KCTD17	KLC1	LINC00678	MAMSTR	MARK3	MPST	NTRK2	PLEKHA4	PPP1R15A	RASIP1	RMST	SEC1P	SLCO3A1	TEX33	TMPRSS6	TRMT61A	TST
GSM610737	NR	8.457177471	0.609234135	1.149027916	2.319927419	4.149237946	0.869255896	1.141983674	4.364733957	2.52688855	21.10715157	34.09269411	3.360638086	5.551151585	1.358193003	0.509850041	2.296876784	5.401178688	4.713966614	172.4678262	0.59513889	0.626702319	0.207114072	5.909852084	0.036527961	0.490183161	0.7277369	0.299313304	5.987726508	5.354945813	244.6306766
GSM610738	NR	10.86118956	0.994869768	0.365836788	2.824409256	10.51903155	0.444858317	0.710651701	5.27979587	3.481400761	15.84146742	13.36660698	2.345586143	3.883328446	1.552665282	0.586708332	1.277666244	3.495351168	4.69726524	122.5700545	0.425257842	0.251146554	0.917206099	4.582542279	0.075525535	0.213961106	0.485762486	0.341873246	2.625909207	9.624615305	140.9651171
GSM435828	NR	5.279673449	0.696562711	0.177266117	1.967633277	2.013378028	0.504578076	1.722877557	2.237242862	1.211757391	34.41764557	6.786664653	1.686032346	7.271681093	0.111535732	1.375728206	1.309042688	2.996360724	4.178670891	172.0982576	0.862153813	0.768819554	3.807996571	2.473323685	0.607605244	0.245786906	0.944169782	1.363343778	6.459578745	5.274683144	110.8005733
GSM435833	NR	16.64843688	3.310014422	0.206037447	1.422632697	2.160935616	0.428310546	0.937196389	7.323629133	1.465523998	20.88592387	23.31606234	1.022477628	6.365983117	0.739304517	0.424468395	2.664626306	3.104216757	7.128845909	118.2561304	0.645540204	0.558964091	0.015845662	5.505012623	0.213068299	0.402156385	0.371970528	0.171507575	9.070197266	18.91390395	198.833243
GSM610718	NR	10.31451593	1.24329706	0.352938884	1.359333343	3.151509696	0.724223288	1.063826925	3.482055235	1.864567506	23.37719886	12.56263291	4.311966949	6.72935197	0.70117401	0.465000972	2.214502699	2.890552277	5.43598141	95.87798781	0.616500551	0.472230664	0.604557546	7.206506347	0.559834182	0.598214423	0.87792842	0.467444843	4.894023233	10.49594543	177.7771116
GSM610690	R	11.32049995	1.484747297	0.552895287	1.911058614	4.113597393	1.423315361	1.752982408	1.749687467	0	8.14305299	23.49014413	30.7637342	3.572147425	1.394171367	0.323021939	1.808288194	5.439442164	3.733592516	136.2250869	0.604169063	0.105538438	0.404037989	5.659729571	0.201576566	0.275235155	1.288048092	-0.182296506	49.74695544	3.002517641	301.5557021
GSM435823	R	3.508694819	0.678673982	0.87378023	0.574038986	2.31521139	0.775962801	1.334277833	2.01817218	0.775303601	11.02678415	9.179825051	8.085110299	4.088136122	1.101045948	0.49047965	2.314991449	3.53383615	0.813367004	93.71202289	0.510835501	0.477080954	0.753464144	18.56116665	0.292167253	0.90073683	0.718125517	0.235866936	3.555249471	3.972348834	81.45836917
GSM435824	R	9.696059969	0.960542841	0.275224832	1.973217893	4.37865422	1.135946368	0.645743827	2.220971793	2.654409328	9.702094123	27.58371322	22.67281447	3.374045205	0.952288861	0.269055769	1.81089664	6.438521643	2.960799348	104.4793803	0.974583065	0.25589058	0.318621662	7.714403688	0.353847841	0.460195448	1.695549451	0.097072797	33.3059464	2.968496777	275.5099301
GSM435825	R	11.13186009	0.963205722	0.093999328	2.618767008	5.1488734	1.762946974	1.158256211	1.841514534	2.378665052	10.86530835	22.49120533	31.64299738	4.166495745	1.366642807	0.387040633	1.561496759	5.2691411	3.383193901	118.7827558	0.634430149	0.441442368	0.279739445	8.625245231	0.219938209	0.499682362	1.656699206	0.137559459	48.61387586	3.313987555	266.5739603
GSM435826	R	7.128102625	1.252904894	0.035195474	1.785048333	3.773816443	1.188205079	0.153893149	0.415893508	2.58967757	9.494133593	9.602854181	15.89302151	4.525852385	1.588658069	0.48687861	2.265436673	6.253072306	1.995908718	110.660727	0.813584202	0.357891043	0.456573557	9.186171146	1.062356922	0.575025968	1.645598395	0.554654051	55.80289152	2.489247891	248.2771139
GSM435827	R	6.784452453	3.820736391	0.220088839	1.581588893	1.746070365	1.439567007	1.136772869	1.10959578	2.501104122	7.868185294	11.89321935	16.96372668	4.447589143	1.373950962	0.2715686	1.889420048	4.337715551	1.906203739	95.41476452	0.696570018	0.23048891	0.683489178	6.882559659	0.204328596	0.626435048	1.199120675	0.057572829	42.32994189	2.376441266	220.0102257
GSM610691	R	13.08991349	0.84527384	0.360137881	5.37593556	6.083921118	1.852280405	1.116669592	4.107917721	1.935840648	18.38967784	28.45653684	21.48919524	4.278412472	0.612076442	0.300970907	2.195199397	7.325890007	3.168693145	187.5339976	1.014226991	0.330475071	0.534298752	12.20555035	0.220461524	0.496512691	0.856312081	0.209410317	31.74335318	8.129913647	378.9116073
GSM435821	R	6.055456651	0.686006042	0.539491527	3.165750415	4.147871611	1.313756867	1.063383423	0.8751722	2.791497008	16.89928607	9.169693693	28.01977487	4.793692332	1.303674724	0.38096292	2.691585562	6.781099182	2.259327435	201.3520823	0.848928978	0.371145204	0.716698397	19.54186796	0.21373187	0.503158342	1.136312052	0.4362913	28.46639684	5.976242552	401.9634065
GSM435822	R	9.052497612	0.863846611	0.174587563	2.566595955	4.020930873	1.624526855	1.642073606	3.148948739	2.412004623	10.61877354	25.21057278	24.02630653	5.205295032	1.146759672	0.429236306	1.971146498	6.067867187	3.824667996	153.2965155	0.859405844	0.481038167	0.534925267	12.93296601	0.077549106	0.747054925	1.387047766	0.257896794	35.77904939	5.432466542	343.8404655
GSM610695	R	7.993743196	0.472844979	0.204186588	3.83865273	12.40486979	1.212556797	1.118068437	2.458074182	2.150827798	12.36923362	27.03864181	37.40127585	4.579261569	0.962842979	0.339060292	2.166746851	7.417267191	4.119394542	154.2184711	0.684906204	0.601949668	0.378277433	12.05654769	0.117589094	0.699379318	1.323188253	0.27050411	42.42301283	7.704303242	276.1432909
GSM610696	R	9.741497631	0.850124464	0.142946055	3.220834825	10.20837462	1.360597702	1.409343355	3.418568395	2.866472971	11.9909268	26.0818795	31.18198467	4.584182958	1.373342004	0.526006558	2.560442461	4.505603189	3.703666654	133.3658038	0.785111955	0.340994309	0.631626683	14.08520346	0.185560162	0.539146404	1.664233091	0.344298778	52.32073385	5.507439795	261.6936695
GSM610717	R	4.213462613	1.159685691	0.320204584	2.146410187	4.86703704	0.287865741	0.727449449	0.33273149	2.006806058	13.27735995	5.732338173	35.82096367	4.772286558	1.023222277	1.151027008	2.676292325	6.608467573	1.839236048	235.8222314	0.932005323	0.265052335	0.719022643	18.92709311	1.060813539	0.492570029	0.788170537	0.112786249	27.25993503	4.759419326	277.9972884
