geneNames	GSM610737	GSM610738	GSM435828	GSM435833	GSM610718	GSM610690	GSM435823	GSM435824	GSM435825	GSM435826	GSM435827	GSM610691	GSM435821	GSM435822	GSM610695	GSM610696	GSM610717
A1CF	106.8860218	56.9211954	93.84521135	89.48150345	58.9194823	94.62061203	35.18964195	85.44249321	101.253641	107.2102153	77.94975137	89.97421302	141.8289124	107.4346368	98.29526741	102.6530742	114.8451856
A2M	126.9100642	147.7672547	18.44205823	38.82022608	34.56776871	27.49574036	1.833585641	74.46207037	90.37217435	50.77264342	27.38697236	30.56025147	36.12708384	46.17325386	66.69212983	68.63865006	9.903352436
A2M-AS1	0.321500084	0.25802005	0.681055039	0.33299692	0.013001004	1.075910235	0.834990269	0.839240806	0.669626349	1.185907621	0.895508871	0.988655954	0.748446358	1.281345342	1.176589722	1.102074656	0.793341768
A2ML1	0.652379671	0.578490004	0.736019524	0.839714702	0.914748173	0.60292803	1.411209677	0.622467271	0.440447262	0.629288314	0.639997586	0.542504284	0.781963302	0.740718555	0.52636435	0.368901016	0.669222034
A4GALT	0.282926215	0.000119564	1.204576144	0.388837831	0.030484686	0.765126118	0.68003812	0.318371949	0.221282906	0.138220037	0.431732303	0.943054172	0.13519921	0.071995023	0.053031708	0.43456765	0.189291255
A4GNT	1.478242593	1.019236379	0.423671453	1.703509588	1.062095381	1.491787261	1.008372529	1.226901403	1.348585314	1.320052803	1.260306279	1.534734955	0.864547928	1.569672546	1.399893594	1.35262336	1.595643001
AA06	-0.000339532	0.311726156	0.851292716	0.252053807	0.57071694	-0.007530792	0.606368411	0.094542806	0.248623233	0.112442795	0.031725661	0.306217672	0.345566993	0.160207244	0.180471612	0.154119708	0.062303668
AAAS	24.62272739	16.26372841	28.66985162	35.58568463	15.06241988	11.52063051	13.64425286	11.27957852	12.95880727	13.51756567	9.906033291	22.48742524	28.46845049	22.41937857	21.82798553	17.83230335	27.26370613
AACS	4.206291983	2.596297397	3.362059493	1.89021639	2.926437685	1.357958866	2.405261504	1.516604047	2.363799714	1.696498959	1.1650236	1.082998326	2.20548521	2.672520944	1.806429811	1.636999934	2.005836367
AACSP1	0.312456056	0.19994149	0.375023536	0.883408659	0.71463235	0.36876133	0.916730088	0.24958432	0.196716944	0.401989843	0.275502557	0.168335723	0.436326325	0.068071092	0.067265874	0.173246236	0.257714695
AADAC	23.9074381	25.2453791	2.869335938	2.677078437	4.744624477	48.27056825	13.31802439	46.84681983	83.86944695	53.27011896	26.39483512	75.04126617	41.53061849	54.45265987	75.02856841	59.74628445	23.85048433
AADACL2	0.911692469	0.098632122	0.50452029	0.439771854	0.539847425	0.004518393	0.588497651	0.212147258	0.372622978	0.047037158	0.326356481	0.155917042	0.405309415	0.343817411	0.011969163	0.234736192	0.201243439
AADACP1	1.029034515	0.786334893	0.174534201	0.735934038	1.031881987	1.843532276	2.075596448	3.064704938	2.157680013	1.056294444	1.122065796	5.628948754	1.757067055	2.502612757	3.702382337	2.690368446	2.33733513
AADAT	1.406522164	0.397156171	0.967448034	0.657142199	0.731410137	3.832908212	1.669676868	3.182945943	3.905825397	3.257168422	2.56185016	4.365584935	3.816119846	4.515136421	5.789360338	4.137121598	3.147387468
AAGAB	3.14014419	3.980469309	2.255447322	6.127966458	3.093093048	2.725358059	2.200512689	2.608298238	2.616756906	2.072180577	1.833456621	3.01394904	1.748935785	3.831171836	2.401038574	2.908641162	1.629621885
AAK1	4.790944135	5.324970825	7.743414352	6.375090891	4.042432656	4.643479076	12.95117951	5.955348228	6.308820163	5.767230146	4.596444122	7.283790694	7.755951651	11.53180678	8.369464559	7.636255138	10.18373988
